,collection_date,collection_time,geo_loc_name,isolation_source,collection_site_id,project_name,collected_by,purpose_of_ww_sampling,ww_sample_site,ww_flow,instantaneous_flow,ww_population,ww_sample_matrix,ww_sample_type,collection_volume,ww_sample_duration,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,concentration_method,extraction_method,extraction_control,ww_surv_target_1,ww_surv_target_1_known_present,ww_surv_target_1_protocol,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,sequenced_by,BioSampleModel,enrichment_kit,amplicon_PCR_primer_scheme,amplicon_size,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,sequence_submitter_contact_email,experiment_id,SRA_id,raw_sequence_data_processing_method,sample_name,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_population_source,ww_endog_control_1,ww_endog_control_1_conc,ww_endog_control_1_protocol,ww_endog_control_1_units,ww_primary_sludge_retention_time,ww_processing_protocol,ww_surv_target_2_protocol
SRR25665963,2023-07-16,,USA: Ohio,wastewater,OH0021008,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,16845082.44,,21000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,31157.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665963,SRX21391598,DRAGEN bcl convert,2PD00002_07162023,oh,2PD00002_07162023,utility provided information,,,,,,,
SRR25665959,2023-07-16,,USA: Ohio,wastewater,OH0025291,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,28365945.35,,25000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665959,SRX21391602,DRAGEN bcl convert,2PD00007_07162023,oh,2PD00007_07162023,utility provided information,,,,,,,
SRR25652595,2023-07-16,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,3500000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,artic-v5.3.2_400,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652595,SRX21378463,,,,19-230716,,,,,,,,
SRR25665944,2023-07-16,,USA: Ohio,wastewater,OH0034223,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,58207141.38,,195577,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,64336.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665944,SRX21391617,DRAGEN bcl convert,2PK00000_07162023,oh,2PK00000_07162023,utility provided information,,,,,,,
SRR25665948,2023-07-16,,USA: Ohio,wastewater,OH0027332,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,69855989.06,,55000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665948,SRX21391613,DRAGEN bcl convert,2PF00001_07162023,oh,2PF00001_07162023,utility provided information,,,,,,,
SRR25665956,2023-07-16,,USA: Ohio,wastewater,OH0025135,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,13513920.07,,42000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,10239.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665956,SRX21391605,DRAGEN bcl convert,2PD00008_07162023,oh,2PD00008_07162023,utility provided information,,,,,,,
SRR25652594,2023-07-16,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,3500000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,artic-v5.3.2_400,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652594,SRX21378464,,,,19-230716,,,,,,,,
SRR25666009,2023-07-16,,USA: Ohio,wastewater,OH0020273,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,2688020.908,,3300,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,56126.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25666009,SRX21391552,DRAGEN bcl convert,4PB00009601_07162023,oh,4PB00009601_07162023,utility provided information,,,,,,,
SRR25665997,2023-07-16,,USA: Ohio,wastewater,OH0024465,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,5488847.087,,13965,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,65095.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665997,SRX21391564,DRAGEN bcl convert,4PD00003_07162023,oh,4PD00003_07162023,utility provided information,,,,,,,
SRR25665913,2023-07-16,,USA: Ohio,wastewater,OH0025453,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,131732330.1,,200666,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665913,SRX21391648,DRAGEN bcl convert,1PL00000601_07162023,oh,1PL00000601_07162023,utility provided information,,,,,,,
SRR25665863,2023-07-16,,USA: Ohio,wastewater,OH0024660,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,80402146.29,,103379,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665863,SRX21391698,DRAGEN bcl convert,3PE00001_07162023,oh,3PE00001_07162023,utility provided information,,,,,,,
SRR25665867,2023-07-16,,USA: Ohio,wastewater,OH0024350,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,74913299.21,,85000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,9944.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665867,SRX21391694,DRAGEN bcl convert,3PE00000_07162023,oh,3PE00000_07162023,utility provided information,,,,,,,
SRR25666054,2023-07-16,,USA: Ohio,wastewater,OH0049999,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,10901985.94,,13169,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25666054,SRX21391507,DRAGEN bcl convert,0PQ00000_07162023,oh,0PQ00000_07162023,utility provided information,,,,,,,
SRR25665871,2023-07-16,,USA: Ohio,wastewater,OH0025003,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,22614050,,54500,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,12429.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665871,SRX21391690,DRAGEN bcl convert,3PD00034_07162023,oh,3PD00034_07162023,utility provided information,,,,,,,
SRR25666057,2023-07-16,,USA: Ohio,wastewater,OH0028240,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,22106804.82,,47500,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,9818.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25666057,SRX21391504,DRAGEN bcl convert,0PE00000601_07162023,oh,0PE00000601_07162023,utility provided information,,,,,,,
SRR25665885,2023-07-16,,USA: Ohio,wastewater,OH0020001,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,4410004.728,,6700,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,12050.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665885,SRX21391676,DRAGEN bcl convert,2PD00039_07162023,oh,2PD00039_07162023,utility provided information,,,,,,,
SRR25665889,2023-07-16,,USA: Ohio,wastewater,OH0052914,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,32774382.92,,44680,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,10113.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665889,SRX21391672,DRAGEN bcl convert,2PD00035_07162023,oh,2PD00035_07162023,utility provided information,,,,,,,
SRR25665893,2023-07-16,,USA: Ohio,wastewater,OH0052604,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,7154428.272,,17000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,49010.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665893,SRX21391668,DRAGEN bcl convert,2PD00024_07162023,oh,2PD00024_07162023,utility provided information,,,,,,,
SRR25666060,2023-07-16,,USA: Ohio,wastewater,OH0026344,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,6007448.501,,15284,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,20168.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25666060,SRX21391501,DRAGEN bcl convert,0PD00016601_07162023,oh,0PD00016601_07162023,utility provided information,,,,,,,
SRR25665901,2023-07-16,,USA: Ohio,wastewater,OH0025461,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,376505005.4,,566136,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,14618.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665901,SRX21391660,DRAGEN bcl convert,1PM00001602_07162023,oh,1PM00001602_07162023,utility provided information,,,,,,,
SRR25666068,2023-07-16,,USA: Ohio,wastewater,OH0024945,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,5602409.44,,13572,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,37263.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25666068,SRX21391493,DRAGEN bcl convert,0PD00005_07162023,oh,0PD00005_07162023,utility provided information,,,,,,,
SRR25666071,2023-07-16,,USA: Ohio,wastewater,OH0024775,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,4258588.257,,12000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25666071,SRX21391490,DRAGEN bcl convert,0PD00004_07162023,oh,0PD00004_07162023,utility provided information,,,,,,,
SRR25666073,2023-07-16,,USA: Ohio,wastewater,OH0023931,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,7131715.801,,24536,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25666073,SRX21391488,DRAGEN bcl convert,0PD00000_07162023,oh,0PD00000_07162023,utility provided information,,,,,,,
SRR25666043,2023-07-16,,USA: Ohio,wastewater,OH0025429,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,5931740.266,,13000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25666043,SRX21391518,DRAGEN bcl convert,1PD00005_07162023,oh,1PD00005_07162023,utility provided information,,,,,,,
SRR25665917,2023-07-16,,USA: Ohio,wastewater,OH0040983,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,9739864.52,,83058,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,42989.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665917,SRX21391644,DRAGEN bcl convert,1PK00015001_07162023,oh,1PK00015001_07162023,utility provided information,,,,,,,
SRR25665921,2023-07-16,,USA: Ohio,wastewater,OH0024741,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,314984114.5,,654817,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,25136.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665921,SRX21391640,DRAGEN bcl convert,4PF00001601_07162023,oh,4PF00001601_07162023,utility provided information,,,,,,,
SRR25665925,2023-07-16,,USA: Ohio,wastewater,OH0024732,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,274063813.2,,645940,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,40884.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665925,SRX21391636,DRAGEN bcl convert,4PF00000601_07162023,oh,4PF00000601_07162023,utility provided information,,,,,,,
SRR25665842,2023-07-16,,USA: Ohio,wastewater,OH0024651,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,373203747.8,,524154,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,15410.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665842,SRX21391484,DRAGEN bcl convert,3PF00002_07162023,oh,3PF00002_07162023,utility provided information,,,,,,,
SRR25665929,2023-07-16,,USA: Ohio,wastewater,OH0136271,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,13135378.89,,24677,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,28379.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665929,SRX21391632,DRAGEN bcl convert,4PE00002601_07162023,oh,4PE00002601_07162023,utility provided information,,,,,,,
SRR25665933,2023-07-16,,USA: Ohio,wastewater,OH0026671,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,23923802.47,,45000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,13937.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665933,SRX21391628,DRAGEN bcl convert,4PE00001_07162023,oh,4PE00001_07162023,utility provided information,,,,,,,
SRR25665935,2023-07-16,,USA: Ohio,wastewater,OH0028185,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,17291761.03,,27000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,10155.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665935,SRX21391626,DRAGEN bcl convert,3PD00013_07162023,oh,3PD00013_07162023,utility provided information,,,,,,,
SRR25665938,2023-07-16,,USA: Ohio,wastewater,OH0024767,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,7267990.625,,12000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665938,SRX21391623,DRAGEN bcl convert,3PD00002_07162023,oh,3PD00002_07162023,utility provided information,,,,,,,
SRR25665861,2023-07-16,,USA: Ohio,wastewater,OH0023914,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,14312641.96,,31430,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6500.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665861,SRX21391465,DRAGEN bcl convert,3PE00002601_07162023,oh,3PE00002601_07162023,utility provided information,,,,,,,
SRR25665858,2023-07-16,,USA: Ohio,wastewater,OH0026093,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,32168429.34,,72000,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,no,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,9860.5,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665858,SRX21391468,DRAGEN bcl convert,3PE00005_07162023,oh,3PE00005_07162023,utility provided information,,,,,,,
SRR25665854,2023-07-16,,USA: Ohio,wastewater,OH0028223,GenomeTrakr; LFFM ww project,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,80704979.23,,65469,raw wastewater,composite,,24,,,,,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,bcov vaccine,SARS-CoV-2,yes,GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,16042.0,copies/L,N gene (N2),,,,,,,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,ARTIC V4.1,400,,,,,,sovic.1@osu.edu,SRR25665854,SRX21391472,DRAGEN bcl convert,3PE00006_07162023,oh,3PE00006_07162023,utility provided information,,,,,,,
