,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id
ERR9862741,2022-06-20,2022-06-20,SAMEA110150260,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_27,2021-03-27,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_27,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862741,ERX9407819
ERR9862569,2022-06-20,2022-06-20,SAMEA110150088,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,17_2021_03_27,2021-03-27,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_27,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862569,ERX9407647
ERR9862414,2022-06-20,2022-06-20,SAMEA110149933,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,10_2021_03_26,2021-03-26,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_26,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862414,ERX9407492
ERR9862487,2022-06-20,2022-06-20,SAMEA110150006,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_26,2021-03-26,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_26,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862487,ERX9407565
ERR9862568,2022-06-20,2022-06-20,SAMEA110150087,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,17_2021_03_26,2021-03-26,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_26,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862568,ERX9407646
ERR9862654,2022-06-20,2022-06-20,SAMEA110150173,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,19_2021_03_26,2021-03-26,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_26,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862654,ERX9407732
ERR9862740,2022-06-20,2022-06-20,SAMEA110150259,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_26,2021-03-26,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_26,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862740,ERX9407818
ERR9862567,2022-06-20,2022-06-20,SAMEA110150086,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,17_2021_03_25,2021-03-25,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_25,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862567,ERX9407645
ERR9862739,2022-06-20,2022-06-20,SAMEA110150258,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_25,2021-03-25,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_25,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862739,ERX9407817
ERR9862486,2022-06-20,2022-06-20,SAMEA110150005,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_25,2021-03-25,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_25,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862486,ERX9407564
ERR9862413,2022-06-20,2022-06-20,SAMEA110149932,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,10_2021_03_25,2021-03-25,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_25,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862413,ERX9407491
ERR9862653,2022-06-20,2022-06-20,SAMEA110150172,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,19_2021_03_25,2021-03-25,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_25,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862653,ERX9407731
ERR9862566,2022-06-20,2022-06-20,SAMEA110150085,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,17_2021_03_24,2021-03-24,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_24,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862566,ERX9407644
ERR9862412,2022-06-20,2022-06-20,SAMEA110149931,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,10_2021_03_24,2021-03-24,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_24,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862412,ERX9407490
ERR9862485,2022-06-20,2022-06-20,SAMEA110150004,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_24,2021-03-24,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_24,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862485,ERX9407563
ERR9862738,2022-06-20,2022-06-20,SAMEA110150257,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_24,2021-03-24,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_24,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862738,ERX9407816
ERR9862652,2022-06-20,2022-06-20,SAMEA110150171,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,19_2021_03_24,2021-03-24,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_24,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862652,ERX9407730
ERR9862737,2022-06-20,2022-06-20,SAMEA110150256,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_23,2021-03-23,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_23,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862737,ERX9407815
ERR9862651,2022-06-20,2022-06-20,SAMEA110150170,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,19_2021_03_23,2021-03-23,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_23,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862651,ERX9407729
ERR9862484,2022-06-20,2022-06-20,SAMEA110150003,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_23,2021-03-23,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_23,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862484,ERX9407562
ERR9862565,2022-06-20,2022-06-20,SAMEA110150084,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,17_2021_03_23,2021-03-23,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_23,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862565,ERX9407643
ERR9862411,2022-06-20,2022-06-20,SAMEA110149930,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,10_2021_03_23,2021-03-23,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_23,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862411,ERX9407489
ERR9862736,2022-06-20,2022-06-20,SAMEA110150255,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_22,2021-03-22,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_22,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862736,ERX9407814
ERR9862564,2022-06-20,2022-06-20,SAMEA110150083,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,17_2021_03_22,2021-03-22,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_22,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862564,ERX9407642
ERR9862483,2022-06-20,2022-06-20,SAMEA110150002,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_22,2021-03-22,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_22,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862483,ERX9407561
ERR9862410,2022-06-20,2022-06-20,SAMEA110149929,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,10_2021_03_22,2021-03-22,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_22,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862410,ERX9407488
ERR9862650,2022-06-20,2022-06-20,SAMEA110150169,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,19_2021_03_22,2021-03-22,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_22,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862650,ERX9407728
ERR9862409,2022-06-20,2022-06-20,SAMEA110149928,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,10_2021_03_21,2021-03-21,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862409,ERX9407487
ERR9862649,2022-06-20,2022-06-20,SAMEA110150168,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,19_2021_03_21,2021-03-21,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862649,ERX9407727
ERR9862482,2022-06-20,2022-06-20,SAMEA110150001,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_21,2021-03-21,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862482,ERX9407560
ERR9862735,2022-06-20,2022-06-20,SAMEA110150254,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_21,2021-03-21,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862735,ERX9407813
ERR9862563,2022-06-20,2022-06-20,SAMEA110150082,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,17_2021_03_21,2021-03-21,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862563,ERX9407641
ERR9862408,2022-06-20,2022-06-20,SAMEA110149927,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,10_2021_03_20,2021-03-20,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862408,ERX9407486
ERR9862481,2022-06-20,2022-06-20,SAMEA110150000,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_20,2021-03-20,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862481,ERX9407559
ERR9862562,2022-06-20,2022-06-20,SAMEA110150081,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,17_2021_03_20,2021-03-20,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862562,ERX9407640
ERR9862648,2022-06-20,2022-06-20,SAMEA110150167,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,19_2021_03_20,2021-03-20,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862648,ERX9407726
ERR9862734,2022-06-20,2022-06-20,SAMEA110150253,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_20,2021-03-20,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862734,ERX9407812
ERR9862561,2022-06-20,2022-06-20,SAMEA110150080,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:35Z,2022-06-20T04:17:35Z,public,17_2021_03_19,2021-03-19,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862561,ERX9407639
ERR9862407,2022-06-20,2022-06-20,SAMEA110149926,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,10_2021_03_19,2021-03-19,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862407,ERX9407485
ERR9862647,2022-06-20,2022-06-20,SAMEA110150166,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,19_2021_03_19,2021-03-19,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862647,ERX9407725
ERR9862480,2022-06-20,2022-06-20,SAMEA110149999,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_19,2021-03-19,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862480,ERX9407558
ERR9862733,2022-06-20,2022-06-20,SAMEA110150252,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_19,2021-03-19,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862733,ERX9407811
ERR9862646,2022-06-20,2022-06-20,SAMEA110150165,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,19_2021_03_18,2021-03-18,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862646,ERX9407724
ERR9862479,2022-06-20,2022-06-20,SAMEA110149998,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_18,2021-03-18,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862479,ERX9407557
ERR9862560,2022-06-20,2022-06-20,SAMEA110150079,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:35Z,2022-06-20T04:17:35Z,public,17_2021_03_18,2021-03-18,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862560,ERX9407638
ERR9862406,2022-06-20,2022-06-20,SAMEA110149925,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,10_2021_03_18,2021-03-18,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862406,ERX9407484
ERR9862732,2022-06-20,2022-06-20,SAMEA110150251,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_18,2021-03-18,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862732,ERX9407810
ERR9862405,2022-06-20,2022-06-20,SAMEA110149924,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,10_2021_03_17,2021-03-17,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_03_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862405,ERX9407483
ERR9862478,2022-06-20,2022-06-20,SAMEA110149997,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_17,2021-03-17,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862478,ERX9407556
ERR9862731,2022-06-20,2022-06-20,SAMEA110150250,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_17,2021-03-17,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862731,ERX9407809
ERR9862645,2022-06-20,2022-06-20,SAMEA110150164,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,19_2021_03_17,2021-03-17,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_03_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862645,ERX9407723
ERR9862559,2022-06-20,2022-06-20,SAMEA110150078,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:35Z,2022-06-20T04:17:35Z,public,17_2021_03_17,2021-03-17,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_03_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862559,ERX9407637
ERR9862477,2022-06-20,2022-06-20,SAMEA110149996,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_03_16,2021-03-16,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_03_16,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862477,ERX9407555
ERR9862730,2022-06-20,2022-06-20,SAMEA110150249,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:36Z,2022-06-20T04:17:36Z,public,25_2021_03_16,2021-03-16,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_03_16,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862730,ERX9407808
